Make Model,Sales volume
GWM Ora,432
Land Rover Range Rover Evoque,398
BMW 4 Series Coupe/Conv,394
Lexus LX,391
Suzuki S-Cross,389
Mercedes-Benz Vito / eVito Van,387
Leapmotor C10,381
Audi A5,378
Mercedes-Benz E-Class,374
RAM 2500,359
Mercedes-Benz CLA-Class,342
DAF (HD),330
Kia Niro,329
BMW iX,321
Skoda Karoq,314
Audi Q8,314
CUPRA Born,313
Volkswagen Crafter,309
Jeep Wrangler,306
Mercedes-Benz G-Class,306
Kia EV6,300
Nissan Navara 4X2,299
Audi A1,297
Mercedes-Benz GLE-Class Coupe,296
UD Trucks (HD),295
Land Rover Discovery,294
Peugeot Partner / E-Partner,292
BMW i5,292
Land Rover Range Rover,285
Hyundai Inster,282
Fiat 500 / Abarth,278
Volkswagen ID. Buzz,277
Ford Mustang Mach-E,275
Omoda Jaecoo J8,271
BMW X4,266
Iveco (HD),265
Hyundai Sonata,261
Land Rover Discovery Sport,261
Jeep Gladiator,257
Iveco Van (LD),252
Land Rover Range Rover Velar,249
Mazda CX-70,248
Jaguar F-Pace,244
BMW 5 Series,243
CUPRA Tavascan,238
Audi Q6 e-tron,234
KGM SsangYong Torres,228
MINI Cabrio,224
LDV Deliver 9 Bus,221
Kia EV9,213
Skoda Fabia,210
MAN (HD),200
Peugeot 3008 / E3008,188
Volkswagen Multivan,187
Lexus LM,183
Volkswagen Transporter,180
Volkswagen ID.5,178
Mercedes-Benz V-Class,175
Maserati Grecale,170
Volvo C40,165
Renault Megane E-Tech,165
CUPRA Leon,163
Renault Arkana,163
GMC Yukon,162
LDV Terron 9,161
LDV Mifa,159
Jaguar E-Pace,156
Peugeot Expert / E-Expert,155
Deepal S07,155
Porsche Cayman,153
Chevrolet Corvette Stingray,153
Skoda Enyaq,149
Alfa Romeo Giulia,147
Volvo EX90,147
Volkswagen Tayron,144
Porsche Taycan,142
Renault Kangoo,140
Skoda Superb,140
Ford Transit Bus,138
Subaru Solterra,137
Toyota Supra,132
CUPRA Terramar,132
Jeep Compass,131
Genesis GV80 Wagon,131
Peugeot 2008,125
Audi A6,124
Volkswagen ID. Buzz Cargo,118
Porsche Boxster,117
Nissan Z,114
Lamborghini Urus,114
GWM Haval H7,114
Ferrari Coupe/Conv,113
Jeep Avenger,113
KGM SsangYong Korando,111
Alfa Romeo Tonale,111
Western Star (HD),110
Suzuki Fronx,104
Mercedes-Benz EQE,99
Skoda Scala,97
Mercedes-AMG GT Cpe/Conv,96
Mercedes-Benz Vito/ eVito Tour,95
KGM Ssangyong Actyon,93
Volvo V60 Cross Country,92
Hyundai EX4,89
Freightliner (HD),88
Hyundai Ioniq 6,87
Kia Tasman 4X2,84
CUPRA Ateca,83
Alfa Romeo Stelvio,83
BMW XM,83
Renault Duster,83
Zeekr 009,83
Volkswagen Caddy,80
Aston Martin Coupe/Conv,79
GWM Cannon 4X2,78
Honda Accord,75
Lamborghini Coupe/Conv,72
Porsche Panamera,71
Peugeot 408,70
Dennis Eagle (HD),67
Volkswagen Passat,66
Iveco (MD),64
Mercedes-Benz S-Class,63
Nissan Leaf,62
Mercedes-Benz EQS SUV,61
Peugeot 308/e308,61
Mercedes-Benz Sprinter Bus,58
Omoda Jaecoo Omoda 9,56
Genesis GV80 Coupe,52
MG IM6,50
McLaren Coupe/Conv,47
UD Trucks (MD),45
Mercedes (MD),44
Peugeot 5008,43
BMW Z4,42
Lexus LC,41
Lexus RZ,40
Lotus Emira,40
Aston Martin DBX,40
MG Cyberster,40
Hyundai EX9,39
LDV V80,38
Bentley Coupe/Conv,38
Volvo S60,37
Bentley Bentayga,36
Audi A7,35
Nissan Ariya,35
Audi Q8 e-tron,34
Toyota Granvia,33
Renault Master Bus,33
Foton Mobility T5,32
Genesis G80,31
BMW 7 Series,31
Mercedes-Benz EQV,30
MAN (MD),29
Ferrari Purosangue,28
MG IM5,28
Ford Escape,27
Audi A4,26
Genesis G70,26
Skoda Elroq,25
Volvo Truck (MD),24
Chevrolet Corvette Z06,23
Audi e-tron GT,23
Hyundai Pavise,22
