jato_make,jato_model,carexpert_make,carexpert_model,url,match_status
"Deepal","S07","deepal","s07","https://www.carexpert.com.au/deepal/s07","MATCHED"
"FIAT","500","fiat","500","https://www.carexpert.com.au/fiat/500","MATCHED"
"FIAT","500e","fiat","500e","https://www.carexpert.com.au/fiat/500e","MATCHED"
"FIAT","Ducato","fiat","ducato","https://www.carexpert.com.au/fiat/ducato","MATCHED"
"Farizon","Supervan","","","","UNMATCHED"
"Ferrari","12Cilindri","ferrari","12cilindri","https://www.carexpert.com.au/ferrari/12cilindri","MATCHED"
"Ferrari","296","ferrari","296","https://www.carexpert.com.au/ferrari/296","MATCHED"
"Ferrari","Purosangue","ferrari","purosangue","https://www.carexpert.com.au/ferrari/purosangue","MATCHED"
"Ferrari","SF90","ferrari","sf90","https://www.carexpert.com.au/ferrari/sf90","MATCHED"
"Ford","E-Transit","ford","ecosport","https://www.carexpert.com.au/ford/ecosport","MATCHED"
"Ford","Everest","ford","everest","https://www.carexpert.com.au/ford/everest","MATCHED"
"Ford","F-150","ford","f-150","https://www.carexpert.com.au/ford/f-150","MATCHED"
"Ford","Mustang","ford","mustang","https://www.carexpert.com.au/ford/mustang","MATCHED"
"Ford","Mustang Mach-e","ford","mustang-mach-e","https://www.carexpert.com.au/ford/mustang-mach-e","MATCHED"
"Ford","Ranger","ford","ranger","https://www.carexpert.com.au/ford/ranger","MATCHED"
"Ford","Tourneo","ford","tourneo","https://www.carexpert.com.au/ford/tourneo","MATCHED"
"Ford","Transit","ford","transit","https://www.carexpert.com.au/ford/transit","MATCHED"
"Ford","Transit Custom","ford","transit-custom","https://www.carexpert.com.au/ford/transit-custom","MATCHED"
"Foton","Aumark S","","","","UNMATCHED"
"Foton","T5","","","","UNMATCHED"
"Foton","Tunland","foton","tunland","https://www.carexpert.com.au/foton/tunland","MATCHED"
"Fuso","Canter","","","","UNMATCHED"
"Fuso","eCanter","","","","UNMATCHED"
"GMC","Yukon","gmc","yukon","https://www.carexpert.com.au/gmc/yukon","MATCHED"
"GWM","Cannon","gwm","cannon-alpha","https://www.carexpert.com.au/gwm/cannon-alpha","MATCHED"
"GWM","Cannon Alpha","gwm","cannon-alpha","https://www.carexpert.com.au/gwm/cannon-alpha","MATCHED"
"GWM","Haval H6","gwm","h6","https://www.carexpert.com.au/gwm/h6","MATCHED"
"GWM","Haval H6GT","gwm","h6","https://www.carexpert.com.au/gwm/h6","UNMATCHED"
"GWM","Haval H7","gwm","h7","https://www.carexpert.com.au/gwm/h7","MATCHED"
"GWM","Haval Jolion","gwm","jolion","https://www.carexpert.com.au/gwm/jolion","MATCHED"
"GWM","Ora","gwm","ora","https://www.carexpert.com.au/gwm/ora","MATCHED"
"GWM","TANK 300","gwm","tank-300","https://www.carexpert.com.au/gwm/tank-300","MATCHED"
"GWM","TANK 500","gwm","tank-500","https://www.carexpert.com.au/gwm/tank-500","MATCHED"
"GWM","Ute","gwm","ute","https://www.carexpert.com.au/gwm/ute","MATCHED"
"Geely","EX5","geely","ex5","https://www.carexpert.com.au/geely/ex5","MATCHED"
"Genesis","Electrified G80","genesis","g80","https://www.carexpert.com.au/genesis/g80","UNMATCHED"
"Genesis","Electrified GV70","genesis","gv70","https://www.carexpert.com.au/genesis/gv70","UNMATCHED"
"Genesis","G70","genesis","g70","https://www.carexpert.com.au/genesis/g70","MATCHED"
"Genesis","G70 Shooting Brake","genesis","g70","https://www.carexpert.com.au/genesis/g70","MATCHED"
"Genesis","G80","genesis","g80","https://www.carexpert.com.au/genesis/g80","MATCHED"
"Genesis","GV60","genesis","gv60","https://www.carexpert.com.au/genesis/gv60","MATCHED"
"Genesis","GV70","genesis","gv70","https://www.carexpert.com.au/genesis/gv70","MATCHED"
"Genesis","GV80","genesis","gv80","https://www.carexpert.com.au/genesis/gv80","MATCHED"
"Genesis","GV80 Coupe","genesis","gv80","https://www.carexpert.com.au/genesis/gv80","MATCHED"
"Hino","300 Series","","","","UNMATCHED"
"Honda","Accord","honda","accord","https://www.carexpert.com.au/honda/accord","MATCHED"
"Honda","CR-V","honda","cr-v","https://www.carexpert.com.au/honda/cr-v","MATCHED"
"Honda","Civic Hatch","honda","civic","https://www.carexpert.com.au/honda/civic","MATCHED"
"Honda","HR-V","honda","hr-v","https://www.carexpert.com.au/honda/hr-v","MATCHED"
"Honda","ZR-V","honda","zr-v","https://www.carexpert.com.au/honda/zr-v","MATCHED"
"Hyundai","IONIQ 5","hyundai","ioniq-5","https://www.carexpert.com.au/hyundai/ioniq-5","MATCHED"
"Hyundai","IONIQ 6","hyundai","ioniq-6","https://www.carexpert.com.au/hyundai/ioniq-6","MATCHED"
"Hyundai","IONIQ 9","hyundai","ioniq-9","https://www.carexpert.com.au/hyundai/ioniq-9","MATCHED"
"Hyundai","Inster","hyundai","inster","https://www.carexpert.com.au/hyundai/inster","MATCHED"
"Hyundai","Kona","hyundai","kona","https://www.carexpert.com.au/hyundai/kona","MATCHED"
"Hyundai","Kona Electric","hyundai","kona","https://www.carexpert.com.au/hyundai/kona","MATCHED"
"Hyundai","Mighty Electric","","","","UNMATCHED"
"Hyundai","Nexo","hyundai","nexo","https://www.carexpert.com.au/hyundai/nexo","MATCHED"
"Hyundai","Palisade","hyundai","palisade","https://www.carexpert.com.au/hyundai/palisade","MATCHED"
"Hyundai","Santa Fe","hyundai","santa-fe","https://www.carexpert.com.au/hyundai/santa-fe","MATCHED"
"Hyundai","Sonata","hyundai","sonata","https://www.carexpert.com.au/hyundai/sonata","MATCHED"
"Hyundai","Staria","hyundai","staria","https://www.carexpert.com.au/hyundai/staria","MATCHED"
"Hyundai","Staria Load","hyundai","staria-load","https://www.carexpert.com.au/hyundai/staria-load","MATCHED"
"Hyundai","Tucson","hyundai","tucson","https://www.carexpert.com.au/hyundai/tucson","MATCHED"
"Hyundai","Venue","hyundai","venue","https://www.carexpert.com.au/hyundai/venue","MATCHED"
"Hyundai","i20 N","hyundai","i20","https://www.carexpert.com.au/hyundai/i20","MATCHED"
"Hyundai","i30 Hatch","hyundai","i30","https://www.carexpert.com.au/hyundai/i30","MATCHED"
"Hyundai","i30 N Hatch","hyundai","i30","https://www.carexpert.com.au/hyundai/i30","MATCHED"
"Hyundai","i30 N Sedan","hyundai","i30","https://www.carexpert.com.au/hyundai/i30","MATCHED"
"Hyundai","i30 Sedan","hyundai","i30","https://www.carexpert.com.au/hyundai/i30","MATCHED"
"IM Presented by MG Motor","IM5","mg","im5","https://www.carexpert.com.au/mg/im5","MATCHED"
"IM Presented by MG Motor","IM6","mg","im6","https://www.carexpert.com.au/mg/im6","MATCHED"
"Ineos","Grenadier","ineos","grenadier","https://www.carexpert.com.au/ineos/grenadier","MATCHED"
"Isuzu Ute","D-MAX","isuzu","d-max","https://www.carexpert.com.au/isuzu/d-max","MATCHED"
"Isuzu Ute","MU-X","isuzu","mu-x","https://www.carexpert.com.au/isuzu/mu-x","MATCHED"
"Isuzu","N-Series","","","","UNMATCHED"
"Iveco","Daily","iveco","daily","https://www.carexpert.com.au/iveco/daily","MATCHED"
"JAC","N55","","","","UNMATCHED"
"JAC","T9 Ute","jac","t9","https://www.carexpert.com.au/jac/t9","MATCHED"
"Jaecoo","J7","jaecoo","j7","https://www.carexpert.com.au/jaecoo/j7","MATCHED"
"Jaecoo","J8","jaecoo","j8","https://www.carexpert.com.au/jaecoo/j8","MATCHED"
"Jaguar","E-Pace","jaguar","e-pace","https://www.carexpert.com.au/jaguar/e-pace","MATCHED"
"Jaguar","F-Pace","jaguar","f-pace","https://www.carexpert.com.au/jaguar/f-pace","MATCHED"
"Jaguar","F-Type","jaguar","f-type","https://www.carexpert.com.au/jaguar/f-type","MATCHED"
"Jaguar","I-Pace","jaguar","i-pace","https://www.carexpert.com.au/jaguar/i-pace","MATCHED"
"Jaguar","XE","jaguar","xe","https://www.carexpert.com.au/jaguar/xe","MATCHED"
"Jaguar","XF","jaguar","xf","https://www.carexpert.com.au/jaguar/xf","MATCHED"
"Jeep","Avenger","jeep","avenger","https://www.carexpert.com.au/jeep/avenger","MATCHED"
"Jeep","Compass","jeep","compass","https://www.carexpert.com.au/jeep/compass","MATCHED"
"Jeep","Gladiator","jeep","gladiator","https://www.carexpert.com.au/jeep/gladiator","MATCHED"
"Jeep","Grand Cherokee","jeep","grand-cherokee","https://www.carexpert.com.au/jeep/grand-cherokee","MATCHED"
"Jeep","Wrangler","jeep","wrangler","https://www.carexpert.com.au/jeep/wrangler","MATCHED"
"Joylong","EA6","","","","UNMATCHED"
"KGM SsangYong","Korando","kgm","korando","https://www.carexpert.com.au/kgm/korando","MATCHED"
"KGM SsangYong","Musso","kgm","musso","https://www.carexpert.com.au/kgm/musso","MATCHED"
"KGM SsangYong","Rexton","kgm","rexton","https://www.carexpert.com.au/kgm/rexton","MATCHED"
"KGM SsangYong","Torres","kgm","torres","https://www.carexpert.com.au/kgm/torres","MATCHED"
"KGM","Actyon","kgm","actyon","https://www.carexpert.com.au/kgm/actyon","MATCHED"
"KGM","Musso","kgm","musso","https://www.carexpert.com.au/kgm/musso","MATCHED"
"KGM","Rexton","kgm","rexton","https://www.carexpert.com.au/kgm/rexton","MATCHED"
"KIA","Carnival","kia","carnival","https://www.carexpert.com.au/kia/carnival","MATCHED"
"KIA","Cerato","kia","cerato","https://www.carexpert.com.au/kia/cerato","MATCHED"
"KIA","EV6","kia","ev6","https://www.carexpert.com.au/kia/ev6","MATCHED"
"KIA","K4","kia","k4","https://www.carexpert.com.au/kia/k4","MATCHED"
"KIA","Niro","kia","niro","https://www.carexpert.com.au/kia/niro","MATCHED"
"KIA","Picanto","kia","picanto","https://www.carexpert.com.au/kia/picanto","MATCHED"
"KIA","Seltos","kia","seltos","https://www.carexpert.com.au/kia/seltos","MATCHED"
"KIA","Sorento","kia","sorento","https://www.carexpert.com.au/kia/sorento","MATCHED"
"KIA","Sportage","kia","sportage","https://www.carexpert.com.au/kia/sportage","MATCHED"
"KIA","Stonic","kia","stonic","https://www.carexpert.com.au/kia/stonic","MATCHED"
"Kia","EV3","kia","ev3","https://www.carexpert.com.au/kia/ev3","MATCHED"
"Kia","EV5","kia","ev5","https://www.carexpert.com.au/kia/ev5","MATCHED"
"Kia","EV9","kia","ev9","https://www.carexpert.com.au/kia/ev9","MATCHED"
"Kia","Sportage","kia","sportage","https://www.carexpert.com.au/kia/sportage","MATCHED"
"Kia","Tasman","kia","tasman","https://www.carexpert.com.au/kia/tasman","MATCHED"
"LDV","D90","ldv","d90","https://www.carexpert.com.au/ldv/d90","MATCHED"
"LDV","Deliver 7","ldv","deliver-9","https://www.carexpert.com.au/ldv/deliver-9","MATCHED"
"LDV","Deliver 9","ldv","deliver-9","https://www.carexpert.com.au/ldv/deliver-9","MATCHED"
"LDV","ET60","ldv","et60","https://www.carexpert.com.au/ldv/et60","MATCHED"
"LDV","G10+","ldv","g10","https://www.carexpert.com.au/ldv/g10","MATCHED"
"LDV","MIFA","ldv","mifa","https://www.carexpert.com.au/ldv/mifa","MATCHED"
